Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2025-09-24";;"ARAN FOOD AB";"-845.76";"SEK";;;;"";"";"0"
"2025-09-23";;"WILLYS ESKILSTUNA C";"-473.1";"SEK";;;;"";"";"0"
"2025-09-22";;"INBETALNING";"2707";"SEK";;;;"";"";"0"
"2025-09-20";;"Mister York Eskilstuna";"-610";"SEK";;;;"";"";"0"
"2025-09-11";;"ARAN FOOD AB";"-1897.7";"SEK";;;;"";"";"0"
"2025-09-08";;"WILLYS ESKILSTUNA C";"-1448.01";"SEK";;;;"";"";"0"
"2025-09-05";;"OPENAI";"-120.9";"SEK";;"-12.53";"USD";"";"";"9.6488"
"2025-09-05";;"RÖRLIG RÄNTA";"-424.29";"SEK";;;;"";"";"0"
"2025-09-01";;"hallon";"-9";"SEK";;;;"";"";"0"
"2025-09-01";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-09-01";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-09-01";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-09-01";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-09-01";;"G&S By Samis jackets";"-1.11";"SEK";;;;"";"";"0"
"2025-08-29";;"INBETALNING";"3500";"SEK";;;;"";"";"0"
"2025-08-20";;"WILLYS ESKILSTUNA C";"-845";"SEK";;;;"";"";"0"
"2025-08-20";;"WILLYS ESKILSTUNA C";"-117.51";"SEK";;;;"";"";"0"
"2025-08-16";;"IN & FINN AB";"-241";"SEK";;;;"";"";"0"
"2025-08-10";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-10";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-10";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-08";;"Almousli Restaurang";"-188";"SEK";;;;"";"";"0"
"2025-08-05";;"RÖRLIG RÄNTA";"-402.9";"SEK";;;;"";"";"0"
"2025-08-02";;"hallon";"-9";"SEK";;;;"";"";"0"
"2025-08-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-08-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-08-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-08-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-07-31";;"ANTHROPIC";"-990.66";"SEK";;"-100";"USD";"";"";"9.9066"
"2025-07-25";;"INBETALNING";"3315";"SEK";;;;"";"";"0"
"2025-07-13";;"STORA COOP ESKILSTUNA";"-243.9";"SEK";;;;"";"";"0"
"2025-07-05";;"RÖRLIG RÄNTA";"-390.65";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"130";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"-159";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"-128";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"-29";"SEK";;;;"";"";"0"
"2025-07-02";;"hallon";"-29";"SEK";;;;"";"";"0"
