Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2025-09-30";;"Nordea Cashback";"38.16";"SEK";;;;"";"";"0"
"2025-09-28";;"WILLYS ESKILSTUNA C";"-746.53";"SEK";;;;"";"";"0"
"2025-09-28";;"WILLYS ESKILSTUNA C";"-430";"SEK";;;;"";"";"0"
"2025-09-27";;"AIMO, AIMO PARK";"-354.95";"SEK";;;;"";"";"0"
"2025-09-27";;"APPLE.COM/BILL";"-119";"SEK";;;;"";"";"0"
"2025-09-27";;"APPLE.COM/BILL";"-119";"SEK";;;;"";"";"0"
"2025-09-24";;"TikTok Ads";"-1588";"SEK";;;;"";"";"0"
"2025-09-22";;"INBETALNING";"6338";"SEK";;;;"";"";"0"
"2025-09-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2025-09-13";;"SHOPIFY* 417343066";"-400.82";"SEK";;"-36";"EUR";"";"";"11.1339"
"2025-09-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2025-09-07";;"One.com";"-123.75";"SEK";;;;"";"";"0"
"2025-09-07";;"Touma group Ab Eskilst";"-339";"SEK";;;;"";"";"0"
"2025-09-06";;"Almousli Restaurang";"-180";"SEK";;;;"";"";"0"
"2025-09-05";;"RÖRLIG RÄNTA";"-857.97";"SEK";;;;"";"";"0"
"2025-09-03";;"ARAN FOOD AB";"-777.38";"SEK";;;;"";"";"0"
"2025-09-02";;"SHOPIFY* 412666599";"-156.65";"SEK";;"-13.89";"EUR";"";"";"11.2779"
"2025-09-01";;"Google GSUITE_samisjac";"-64.09";"SEK";;"-5.67";"EUR";"";"";"11.3034"
"2025-08-31";;"Nordea Cashback";"12.25";"SEK";;;;"";"";"0"
"2025-08-30";;"WILLYS ESKILSTUNA C";"-2796.66";"SEK";;;;"";"";"0"
"2025-08-30";;"WILLYS ESKILSTUNA C";"-845";"SEK";;;;"";"";"0"
"2025-08-29";;"INBETALNING";"4500";"SEK";;;;"";"";"0"
"2025-08-28";;"ARAN FOOD AB";"-100.51";"SEK";;;;"";"";"0"
"2025-08-26";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-26";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-26";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-08-24";;"AIMO, AIMO PARK";"-354.95";"SEK";;;;"";"";"0"
"2025-08-24";;"GEIDEAE*MIMOCODES";"-114.72";"SEK";;"-566.89";"EGP";"";"";"0.2024"
"2025-08-18";;"BABYLON LIVS";"-295.9";"SEK";;;;"";"";"0"
"2025-08-18";;"AVAND LIVS";"-8";"SEK";;;;"";"";"0"
"2025-08-17";;"BILTEMA ESKILSTUNA";"-531.2";"SEK";;;;"";"";"0"
"2025-08-17";;"HEMKOP ESKILSTUNA C";"-106.95";"SEK";;;;"";"";"0"
"2025-08-17";;"BABYLON LIVS";"-64";"SEK";;;;"";"";"0"
"2025-08-17";;"MCDESKILSTUNACITY";"-35";"SEK";;;;"";"";"0"
"2025-08-16";;"SHOPIFY* 404278789";"-409.08";"SEK";;"-36";"EUR";"";"";"11.3633"
"2025-08-16";;"CLAS OHLSON";"-79.9";"SEK";;;;"";"";"0"
"2025-08-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2025-08-13";;"Malardalstrafik AB";"-367";"SEK";;;;"";"";"0"
"2025-08-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2025-08-05";;"ÅRSAVGIFT";"-1200";"SEK";;;;"";"";"0"
"2025-08-05";;"RÖRLIG RÄNTA";"-844.15";"SEK";;;;"";"";"0"
"2025-08-01";;"Google GSUITE_samisjac";"-66.18";"SEK";;"-5.82";"EUR";"";"";"11.3711"
"2025-07-31";;"Nordea Cashback";"18.9";"SEK";;;;"";"";"0"
"2025-07-31";;"AIMO, AIMO PARK";"-34.95";"SEK";;;;"";"";"0"
"2025-07-25";;"INBETALNING";"5000";"SEK";;;;"";"";"0"
"2025-07-19";;"AIMO, AIMO PARK";"-354.95";"SEK";;;;"";"";"0"
"2025-07-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2025-07-11";;"APPLE.COM/BILL";"-38";"SEK";;;;"";"";"0"
"2025-07-08";;"ARAN FOOD AB";"-209.99";"SEK";;;;"";"";"0"
"2025-07-07";;"ARAN FOOD AB";"-312.75";"SEK";;;;"";"";"0"
"2025-07-06";;"SORMLANDSTRAFIKEN";"-23";"SEK";;;;"";"";"0"
"2025-07-05";;"LIDL166ETUNARABERGSTOR";"-269.93";"SEK";;;;"";"";"0"
"2025-07-05";;"RÖRLIG RÄNTA";"-848.9";"SEK";;;;"";"";"0"
"2025-07-05";;"ARAN FOOD AB";"-609.12";"SEK";;;;"";"";"0"
"2025-07-05";;"ARAN FOOD AB";"-176.9";"SEK";;;;"";"";"0"
"2025-07-04";;"WILLYS ESKILSTUNA C";"-80.9";"SEK";;;;"";"";"0"
"2025-07-04";;"WILLYS ESKILSTUNA C";"-845";"SEK";;;;"";"";"0"
"2025-07-04";;"ARAN FOOD AB";"-114";"SEK";;;;"";"";"0"
"2025-07-01";;"Google GSUITE_samisjac";"-92.13";"SEK";;"-8.1";"EUR";"";"";"11.3741"
"2025-07-01";;"TikTok Ads";"-55.77";"SEK";;;;"";"";"0"
