"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"018-Black-3XL","XL 018 Men’s Puffer Jacket - Black / CN M = EU XS *KAMPANJ*",2.000,798.40,199.60,998.00,499.00,299.40,0.37500000000000000000
"018-Black-4XL","XL 018 Men’s Puffer Jacket - Black / CN L = EU S *KAMPANJ*",4.000,1596.80,399.20,1996.00,998.00,598.80,0.37500000000000000000
"018-Black-5XL","XL 018 Men’s Puffer Jacket - Black / CN XL = EU M *KAMPANJ*",3.000,1197.60,299.40,1497.00,748.50,449.10,0.37500000000000000000
"018-Black-6XL","XL 018 Men’s Puffer Jacket - Black / CN 2XL = EU L *KAMPANJ*",1.000,399.20,99.80,499.00,249.50,149.70,0.37500000000000000000
"018-DarkBlue-3XL","XL 018 Men’s Puffer Jacket - Dark Blue / CN M = EU XS *KAMPANJ*",1.000,0.00,0.00,0.00,249.50,-249.50,
"018-DarkBlue-5XL","XL 018 Men’s Puffer Jacket - Dark Blue / CN XL = EU M *KAMPANJ*",1.000,399.20,99.80,499.00,249.50,149.70,0.37500000000000000000
"018-Grey-6XL","XL 018 Men’s Puffer Jacket - ORANGE / CN 2XL = EU L *KAMPANJ*",1.000,399.20,99.80,499.00,249.50,149.70,0.37500000000000000000
"0c968eb8","0c968eb8",0.000,0.00,0.00,0.00,0.00,0.00,
"111-Black-110","INCI 111 Children’s Puffer Jackets - Black / M *KAMPANJ*",1.000,0.00,0.00,0.00,224.50,-224.50,
"111-Black-140","INCI 111 Children’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,0.00,0.00,0.00,224.50,-224.50,
"1668-D-US","High-Performance 1668 Compression Leggings for ... - Default / Universal Size *KAMPANJ*",7.000,557.76,139.44,697.20,346.50,211.26,0.37876506024096385542
"1dbb4a7b","1dbb4a7b",1.000,79.20,19.80,99.00,0.00,79.20,1.00000000000000000000
"20241027-1001-01-01","Model 1001 Women Long Jackets - Black / S *KAMPANJ*",1.000,719.20,179.80,899.00,899.25,-180.05,-0.25034760845383759733
"20241027-1001-01-02","Model 1001 Women Long Jackets - Black / M *KAMPANJ*",1.000,639.20,159.80,799.00,899.25,-260.05,-0.40683667083854818523
"20241027-1001-02-01","Model 1001 Women Long Jackets - Grey / S *KAMPANJ*",1.000,639.20,159.80,799.00,899.25,-260.05,-0.40683667083854818523
"20241027-1001-03-05","Model 1001 Women Long Jackets - Brown / 2XL *KAMPANJ*",1.000,639.20,159.80,799.00,899.25,-260.05,-0.40683667083854818523
"20241027-1002-01-05","20241027-1002-01-05",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241027-1002-02-04","Model 1002 Women’s Coat - Grey / XL *KAMPANJ*",1.000,478.03,119.51,597.54,449.25,28.78,0.06020542643767127586
"20241027-1002-03-01","20241027-1002-03-01",1.000,0.00,0.00,0.00,0.00,0.00,
"20241027-1002-03-05","20241027-1002-03-05",1.000,0.00,0.00,0.00,0.00,0.00,
"20241027-1002-03-06","20241027-1002-03-06",0.000,0.00,0.00,0.00,0.00,0.00,
"20241027-1002-04-03","Model 1002 Women’s Coat - Amber / L *KAMPANJ*",1.000,436.46,109.12,545.58,449.25,-12.79,-0.02930394537872886404
"20241027-1002-05-02","Model 1002 Women’s Coat - Beige / M *KAMPANJ*",2.000,893.23,223.31,1116.54,898.50,-5.27,-0.00589993618664845560
"20241027-1002-05-06","20241027-1002-05-06",1.000,0.00,0.00,0.00,0.00,0.00,
"20241027-1002-07-05","20241027-1002-07-05",1.000,415.20,103.80,519.00,0.00,415.20,1.00000000000000000000
"20241027-1002-07-06","20241027-1002-07-06",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241027-1007-01-02","Model 1007 Women’s Coat - Black / M *KAMPANJ*",2.000,878.03,219.51,1097.54,898.50,-20.47,-0.02331355420657608510
"20241027-1007-01-03","20241027-1007-01-03",1.000,415.20,103.80,519.00,0.00,415.20,1.00000000000000000000
"20241027-1007-02-02","20241027-1007-02-02",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241027-1007-05-01","20241027-1007-05-01",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241027-1007-05-05","Model 1007 Women’s Coat - Beige / 2XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"20241027-1009-05-05","Model 1009 Women Long Coat - Beige / 2XL *KAMPANJ*",1.000,544.00,136.00,680.00,899.25,-355.25,-0.65303308823529411765
"20241027-1010-03-03","Model 1010 Women Long Coat - Brown / L *KAMPANJ*",1.000,964.26,241.07,1205.33,899.25,65.01,0.06741957563312799452
"20241027-1015-12-03","Model 1015 Women Long Coat - Red / L *KAMPANJ*",1.000,964.26,241.07,1205.33,899.25,65.01,0.06741957563312799452
"20241027-1016-02-01","Model 1016 Women Long Coat - Grey / 2XL *KAMPANJ*",1.000,633.25,158.31,791.56,599.25,34.00,0.05369127516778523490
"20241027-1018-01-03","Model 1018 Women Long Jackets - Black / L *KAMPANJ*",1.000,964.26,241.07,1205.33,899.25,65.01,0.06741957563312799452
"20241027-1018-02-02","Model 1018 Women Long Jackets - Grey / M *KAMPANJ*",1.000,964.26,241.07,1205.33,899.25,65.01,0.06741957563312799452
"20241027-1019-01-04","Model 1019 Women’s Coat - Black / XL *KAMPANJ*",1.000,964.26,241.07,1205.33,899.25,65.01,0.06741957563312799452
"20241027-1019-12-01","Model 1019 Women’s Coat - Red / S *KAMPANJ*",1.000,864.00,216.00,1080.00,899.25,-35.25,-0.04079861111111111111
