"Samis Jackets AB";"559489-5301";"";""
"";"";"";""
"";"Ingående saldo 2025-01-01";"";"0"
"2025-02-12";"Debiterad preliminärskatt";"-1 716";"-1 716"
"2025-03-01";"Kostnadsränta";"-13";"-1 729"
"2025-03-12";"Debiterad preliminärskatt";"-1 716";"-3 445"
"2025-03-13";"Beslut 250312 debiterad preliminärskatt";"1 716";"-1 729"
"2025-03-13";"Beslut 250312 debiterad preliminärskatt";"1 716";"-13"
"2025-04-05";"Korrigerad kostnadsränta";"13";"0"
"2025-06-12";"Arbetsgivaravgift maj 2025";"-7 917";"-7 917"
"2025-06-12";"Avdragen skatt maj 2025";"-8 316";"-16 233"
"2025-06-12";"Inbetalning bokförd 250611";"16 233";"0"
"2025-06-12";"Anställningsstöd";"21 027";"21 027"
"2025-06-20";"Utbetalning";"-21 027";"0"
"2025-06-28";"Inbetalning bokförd 250627";"6 707";"6 707"
"2025-07-05";"Intäktsränta";"7";"6 714"
"2025-07-08";"Inbetalning bokförd 250707";"20 707";"27 421"
"2025-07-09";"Beslut 250709 moms sept 2024";"1 485";"28 906"
"2025-07-09";"Beslut 250709 moms okt 2024 - dec 2024";"16 027";"44 933"
"2025-07-14";"Arbetsgivaravgift juni 2025";"-3 431";"41 502"
"2025-07-14";"Avdragen skatt juni 2025";"-3 276";"38 226"
"2025-07-14";"Anställningsstöd";"9 112";"47 338"
"2025-07-16";"Utbetalning";"-9 119";"38 219"
"2025-08-02";"Intäktsränta";"34";"38 253"
"2025-08-02";"Korrigerad intäktsränta";"82";"38 335"
"2025-08-12";"Beslut 250709 moms jan 2025 - mars 2025";"-11 551";"26 784"
"2025-08-18";"Moms april 2025 - juni 2025";"-26 668";"116"
"2025-09-06";"Intäktsränta";"13";"129"
"2025-09-06";"Korrigerad intäktsränta";"-29";"100"
"2025-10-09";"Inbetalning bokförd 251008";"625";"725"
"2025-10-29";"Inbetalning bokförd 251028";"15 714";"16 439"
"2025-11-01";"Intäktsränta";"3";"16 442"
"2025-11-12";"Förs.avgift moms/arbetsgivardeklaration 250818";"-625";"15 817"
"2025-11-12";"Moms juli 2025 - sept 2025";"-15 714";"103"
"2025-12-06";"Intäktsränta";"5";"108"
"";"Utgående saldo 2025-12-31";"";"108"
