Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2025-12-29";;"INBETALNING";"2500";"SEK";;;;"";"";"0"
"2025-12-25";;"MATNARA FROSLUNDA";"-1300";"SEK";;;;"";"";"0"
"2025-12-20";;"LIDL166ETUNARABERGSTOR";"-81.4";"SEK";;;;"";"";"0"
"2025-12-09";;"YESIM";"-167.17";"SEK";;"-15";"EUR";"";"";"11.1447"
"2025-12-05";;"RÖRLIG RÄNTA";"-333.58";"SEK";;;;"";"";"0"
"2025-12-01";;"INBETALNING";"3300";"SEK";;;;"";"";"0"
"2025-11-18";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2025-11-14";;"ARAN FOOD AB";"-1900";"SEK";;;;"";"";"0"
"2025-11-11";;"Hem Beklawa";"-165";"SEK";;;;"";"";"0"
"2025-11-05";;"RÖRLIG RÄNTA";"-303.91";"SEK";;;;"";"";"0"
"2025-11-03";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-11-02";;"hallon";"-1.98";"SEK";;;;"";"";"0"
"2025-11-01";;"hallon";"-1.15";"SEK";;;;"";"";"0"
"2025-10-30";;"INBETALNING";"1900";"SEK";;;;"";"";"0"
"2025-10-29";;"ARAN FOOD AB";"-800";"SEK";;;;"";"";"0"
"2025-10-29";;"ARAN FOOD AB";"-1100.21";"SEK";;;;"";"";"0"
"2025-10-23";;"Talk360";"-111.32";"SEK";;"-10";"EUR";"";"";"11.132"
"2025-10-23";;"Talk360";"-111.32";"SEK";;"-10";"EUR";"";"";"11.132"
"2025-10-21";;"ARAN FOOD AB";"-27.98";"SEK";;;;"";"";"0"
"2025-10-20";;"IN & FINN AB";"-69";"SEK";;;;"";"";"0"
"2025-10-20";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-10-19";;"APPLE.COM/BILL";"8";"SEK";;;;"";"";"0"
"2025-10-19";;"ARAN FOOD AB";"-210";"SEK";;;;"";"";"0"
"2025-10-19";;"ARAN FOOD AB";"-34.99";"SEK";;;;"";"";"0"
"2025-10-18";;"APPLE.COM/BILL";"-8";"SEK";;;;"";"";"0"
"2025-10-18";;"APPLE.COM/BILL";"-250";"SEK";;;;"";"";"0"
"2025-10-18";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2025-10-15";;"Hem Beklawa";"-550";"SEK";;;;"";"";"0"
"2025-10-14";;"LIDL166ETUNARABERGSTOR";"-7";"SEK";;;;"";"";"0"
"2025-10-14";;"LIDL166ETUNARABERGSTOR";"-7";"SEK";;;;"";"";"0"
"2025-10-13";;"ARAN FOOD AB";"-2490.71";"SEK";;;;"";"";"0"
"2025-10-13";;"ARAN FOOD AB";"-800";"SEK";;;;"";"";"0"
"2025-10-06";;"Wise";"-2026.2";"SEK";;;;"";"";"0"
"2025-10-06";;"ARAN FOOD AB";"-757.01";"SEK";;;;"";"";"0"
"2025-10-06";;"GILLBERGAPLAN N";"-172";"SEK";;;;"";"";"0"
"2025-10-06";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-10-06";;"G&S By Samis jackets";"-1";"SEK";;;;"";"";"0"
"2025-10-04";;"RÖRLIG RÄNTA";"-378.59";"SEK";;;;"";"";"0"
"2025-10-01";;"INBETALNING";"10000";"SEK";;;;"";"";"0"
"2025-10-01";;"hallon";"-159";"SEK";;;;"";"";"0"
"2025-10-01";;"hallon";"-159";"SEK";;;;"";"";"0"
"2025-10-01";;"hallon";"-159";"SEK";;;;"";"";"0"
"2025-10-01";;"hallon";"-159";"SEK";;;;"";"";"0"
"2025-10-01";;"hallon";"-9";"SEK";;;;"";"";"0"
