Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2025-12-31";;"Nordea Cashback";"25.41";"SEK";;;;"";"";"0"
"2025-12-29";;"INBETALNING";"4500";"SEK";;;;"";"";"0"
"2025-12-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2025-12-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2025-12-05";;"RÖRLIG RÄNTA";"-866.51";"SEK";;;;"";"";"0"
"2025-12-03";;"VIMLA* 0735299675 AVG";"-60";"SEK";;;;"";"";"0"
"2025-12-03";;"TIKTOK ADS";"-2744";"SEK";;;;"";"";"0"
"2025-12-03";;"VIMLA* 0735147846 AVG";"-60";"SEK";;;;"";"";"0"
"2025-12-03";;"VIMLA* 0793392306 AVG";"-60";"SEK";;;;"";"";"0"
"2025-12-03";;"VIMLA* 0735165708 AVG";"-20";"SEK";;;;"";"";"0"
"2025-12-02";;"Partners on Booking BV";"-1424.34";"SEK";;;;"";"";"0"
"2025-12-01";;"GOOGLE*GSUITE SAMISJAC";"-63.42";"SEK";;"-5.67";"EUR";"";"";"11.1852"
"2025-12-01";;"INBETALNING";"5000";"SEK";;;;"";"";"0"
"2025-12-01";;"TIKTOK ADS";"-29.03";"SEK";;;;"";"";"0"
"2025-11-30";;"Nordea Cashback";"8.86";"SEK";;;;"";"";"0"
"2025-11-25";;"AIMO, AIMO PARK";"-354.95";"SEK";;;;"";"";"0"
"2025-11-16";;"APPLE.COM/BILL";"-17";"SEK";;;;"";"";"0"
"2025-11-12";;"SHOPIFY* 443959256";"-500.61";"SEK";;"-44.75";"EUR";"";"";"11.1868"
"2025-11-10";;"St1 Gillbergaplan";"-946.42";"SEK";;;;"";"";"0"
"2025-11-05";;"RÖRLIG RÄNTA";"-865.54";"SEK";;;;"";"";"0"
"2025-11-03";;"VIMLA* 0735165708 AVG";"-21.28";"SEK";;;;"";"";"0"
"2025-11-03";;"VIMLA* 0735147846 AVG";"-104.51";"SEK";;;;"";"";"0"
"2025-11-03";;"VIMLA* 0735299675 AVG";"-63.87";"SEK";;;;"";"";"0"
"2025-11-03";;"VIMLA* 0793392306 AVG";"-63.87";"SEK";;;;"";"";"0"
"2025-11-01";;"GOOGLE*GSUITE SAMISJAC";"-63.12";"SEK";;"-5.67";"EUR";"";"";"11.1323"
"2025-10-31";;"Nordea Cashback";"18.49";"SEK";;;;"";"";"0"
"2025-10-30";;"INBETALNING";"3300";"SEK";;;;"";"";"0"
"2025-10-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2025-10-13";;"SHOPIFY* 430468816";"-404.59";"SEK";;"-36";"EUR";"";"";"11.2386"
"2025-10-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2025-10-05";;"Tubekick";"-131.06";"SEK";;"-13.67";"USD";"";"";"9.5874"
"2025-10-04";;"RÖRLIG RÄNTA";"-818.96";"SEK";;;;"";"";"0"
"2025-10-01";;"Google GSUITE_samisjac";"-63.77";"SEK";;"-5.67";"EUR";"";"";"11.2469"
"2025-10-01";;"TikTok Ads";"-1070.11";"SEK";;;;"";"";"0"
