"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"018-Black-3XL","XL 018 Men’s Puffer Jacket - Black / CN M = EU XS *KAMPANJ*",19.000,5104.80,1276.20,6381.00,4740.50,364.30,0.07136420623726688607
"018-Black-4XL","XL 018 Men’s Puffer Jacket - Black / CN L = EU S *KAMPANJ*",18.000,4865.60,1216.40,6082.00,3992.00,873.60,0.17954620190726734627
"018-Black-5XL","XL 018 Men’s Puffer Jacket - Black / CN XL = EU M *KAMPANJ*",20.000,5320.80,1330.20,6651.00,4740.50,580.30,0.10906254698541572696
"018-Black-6XL","XL 018 Men’s Puffer Jacket - Black / CN 2XL = EU L *KAMPANJ*",12.000,3030.40,757.60,3788.00,2744.50,285.90,0.09434398099260823654
"018-Brown-3XL","XL 018 Men’s Puffer Jacket - Brown / CN M = EU XS *KAMPANJ*",4.000,1316.80,329.20,1646.00,998.00,318.80,0.24210206561360874848
"018-Brown-4XL","XL 018 Men’s Puffer Jacket - Brown / CN L = EU S *KAMPANJ*",2.000,638.40,159.60,798.00,499.00,139.40,0.21835839598997493734
"018-Brown-5XL","XL 018 Men’s Puffer Jacket - Brown / CN XL = EU M *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"018-Brown-6XL","XL 018 Men’s Puffer Jacket - Brown / CN 2XL = EU L *KAMPANJ*",3.000,877.60,219.40,1097.00,748.50,129.10,0.14710574293527803099
"018-DarkBlue-4XL","XL 018 Men’s Puffer Jacket - Dark Blue / CN L = EU S *KAMPANJ*",1.000,399.20,99.80,499.00,249.50,149.70,0.37500000000000000000
"018-DarkBlue-6XL","XL 018 Men’s Puffer Jacket - Dark Blue / CN 2XL = EU L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"018-Grey-3XL","XL 018 Men’s Puffer Jacket - ORANGE / CN M = EU XS *KAMPANJ*",2.000,638.40,159.60,798.00,499.00,139.40,0.21835839598997493734
"018-Grey-4XL","XL 018 Men’s Puffer Jacket - ORANGE / CN L = EU S *KAMPANJ*",1.000,399.20,99.80,499.00,249.50,149.70,0.37500000000000000000
"018-Grey-5XL","XL 018 Men’s Puffer Jacket - ORANGE / CN XL = EU M *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"111-Black-110","INCI 111 Children’s Puffer Jackets - Black / M *KAMPANJ*",4.000,956.80,239.20,1196.00,898.00,58.80,0.06145484949832775920
"111-Black-120","INCI 111 Children’s Puffer Jackets - Black / L *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"111-Black-130","INCI 111 Children’s Puffer Jackets - Black / XL *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"111-Brown-110","INCI 111 Children’s Puffer Jackets - GREEN / M *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"111-Brown-120","INCI 111 Children’s Puffer Jackets - GREEN / L *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"157-B-150-2","Inci Tm157 Children’s Puffer Jackets - Brown / 150 *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"1668-D-US","High-Performance 1668 Compression Leggings for ... - Default / Universal Size *KAMPANJ*",22.000,1358.40,339.60,1698.00,643.50,714.90,0.52628091872791519435
"2016-Beige-2XL","INCI 2016 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",10.000,3592.80,898.20,4491.00,3145.50,447.30,0.12449899799599198397
"2016-Beige-L","INCI 2016 Women’s Puffer Jackets - Beige / L *KAMPANJ*",2.000,798.40,199.60,998.00,349.50,448.90,0.56224949899799599198
"2016-Beige-M","INCI 2016 Women’s Puffer Jackets - Beige / 3XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"2016-Black-2XL","INCI 2016 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",2.000,638.40,159.60,798.00,699.00,-60.60,-0.09492481203007518797
"2016-Brown-2XL","INCI 2016 Women’s Puffer Jackets - RED / 2XL *KAMPANJ*",2.000,718.40,179.60,898.00,699.00,19.40,0.02700445434298440980
"2016-Grey-XL","INCI 2016 Women’s Puffer Jackets - Grey / XL *KAMPANJ*",1.000,319.20,79.80,399.00,349.50,-30.30,-0.09492481203007518797
"2016-White-2XL","INCI 2016 Women’s Puffer Jackets - White / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"2016-White-S","INCI 2016 Women’s Puffer Jackets - White / 4XL *KAMPANJ*",2.000,638.40,159.60,798.00,699.00,-60.60,-0.09492481203007518797
"20241027-1001-01-03","Model 1001 Women Long Jackets - Black / L *KAMPANJ*",1.000,799.20,199.80,999.00,899.25,-100.05,-0.12518768768768768769
"20241027-1002-01-01","Model 1002 Women’s Coat - Black / S *KAMPANJ*",1.000,478.03,119.51,597.54,449.25,28.78,0.06020542643767127586
"20241027-1002-01-04","Model 1002 Women’s Coat - Black / XL *KAMPANJ*",1.000,478.03,119.51,597.54,449.25,28.78,0.06020542643767127586
"20241027-1002-01-05","Model 1002 Women’s Coat - Black / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,449.25,-50.05,-0.12537575150300601202
"20241027-1002-02-06","Model 1002 Women’s Coat - Grey / 3XL *KAMPANJ*",3.000,1197.60,299.40,1497.00,1347.75,-150.15,-0.12537575150300601202
"20241027-1002-06-03","Model 1002 Women’s Coat - Choco / L *KAMPANJ*",1.000,399.20,99.80,499.00,449.25,-50.05,-0.12537575150300601202
"20241027-1004-01-05","Model 1004 Women’s Coat - Black / 2XL *KAMPANJ*",1.000,559.20,139.80,699.00,449.25,109.95,0.19662017167381974249
"20241027-1006-05-03","Model 1006 Women Long Coat - Beige / L *KAMPANJ*",1.000,479.20,119.80,599.00,374.25,104.95,0.21901085141903171953
"20241027-1007-01-05","Model 1007 Women’s Coat - Black / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,449.25,-50.05,-0.12537575150300601202
"20241027-1007-01-06","Model 1007 Women’s Coat - Black / 3XL *KAMPANJ*",1.000,478.03,119.51,597.54,449.25,28.78,0.06020542643767127586
"20241027-1007-02-05","Model 1007 Women’s Coat - Grey / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,449.25,-50.05,-0.12537575150300601202
"20241027-1007-05-01","Model 1007 Women’s Coat - Beige / S *KAMPANJ*",1.000,399.20,99.80,499.00,449.25,-50.05,-0.12537575150300601202
