"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 606;2025-06-30;Allokering maskiner och inventarier frÑn import;;;49 170,68;;49 170,68
;;;"""Utgående saldo:""";;0,00;49 170,68;0,00;49 170,68
;;;;;;;;
1240 Bilar och andra transportmedel;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 459;2025-02-26;"Purchase of co. vehicle; part-financed by Director's Loan bil GLS947";;;27 500,00;;27 500,00
;;;"""Utgående saldo:""";;0,00;27 500,00;0,00;27 500,00
;;;;;;;;
1383 Lämnade depositioner, långfristiga;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 48;2024-10-21;(Fastighets AB Akvarium ) Lokaldeposition;;;120 000,00;;120 000,00
;A 477;2025-06-24;ABET.DEPOSIT - àterbetalning;;;;120 000,00;0,00
;;;"""Utgående saldo:""";;0,00;120 000,00;120 000,00;0,00
;;;;;;;;
1460 Lager av handelsvaror;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 21;2024-10-30;FASTIGHETS AB AKVARIUM F. 5002146107;;;15 000,00;;15 000,00
;A 617;2025-01-31;Avskrivning av stulna damjackor (frsta 4 mÑnader);;;;5 462,99;9 537,01
;A 585;2025-02-14;Tullavgifter;;;36 946,00;;46 483,01
;A 608;2025-06-30;Allokering handelslager 85% frÑn import;;;761 502,53;;807 985,54
;A 614;2025-06-30;KSV fr sÑlda damjackor oktober 2024 - juni 2025;;;;163 049,24;644 936,30
;A 615;2025-06-30;KSV fr sÑlda kinaprodukter oktober 2024 - juni 2025;;;;42 970,00;601 966,30
;A 616;2025-06-30;Avskrivning av skadade damjackor (transport/knappar);;;;9 245,06;592 721,24
;A 619;2025-06-30;fixing invintory costs ;;;158 892,00;;751 613,24
;A 620;2025-06-30;Varor bags skor biliga for markiting to assest mellan att dela de ;;;134 382,00;;885 995,24
;A 623;2025-09-30;COGS - Q3 2025 sales (921 units);;;;45 344,24;840 651,00
;A 624;2025-09-30;Allocate Q3 2025 marketing gifts to staging (231 units @ 25% policy);;;;11 337,54;829 313,46
;A 959;2025-12-31;Varufrbrukning Q4 2025;;;;236 141,50;593 171,96
;A 960;2025-12-31;Reklamgvor till kunder Q4 2025;;;;26 237,95;566 934,01
;A 961;2025-12-31;Varuinkop Future World Tech Q4 38658 USD kurs 10.755;;;415 815,45;;982 749,46
;;;"""Utgående saldo:""";;0,00;1 522 537,98;539 788,52;982 749,46
;;;;;;;;
1469 Förändring av lager av handelsvaror;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
